Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1279_USDA190157_A_R11_1of4_Tturg_1x1_d_uc,1279,Nikon,1x,1,USDA190157,A,R11,Mid,1of4,External,Tturg,d,uc
1280_USDA190157_A_R11_1of4_Tturg_1x1_l_uc,1280,Nikon,1x,1,USDA190157,A,R11,Mid,1of4,External,Tturg,l,uc
1281_USDA190157_A_R11_1of4_Tturg_1x1_p_uc,1281,Nikon,1x,1,USDA190157,A,R11,Mid,1of4,External,Tturg,p,uc
1282_USDA190157_A_R11_2of4_Tturg_1x1_d_uc,1282,Nikon,1x,1,USDA190157,A,R11,Mid,2of4,Internal,Tturg,d,uc
1283_USDA190157_A_R11_2of4_Tturg_1x1_l_uc,1283,Nikon,1x,1,USDA190157,A,R11,Mid,2of4,Internal,Tturg,l,uc
1284_USDA190157_A_R11_2of4_Tturg_1x1_p_uc,1284,Nikon,1x,1,USDA190157,A,R11,Mid,2of4,Internal,Tturg,p,uc
1285_USDA190157_A_R12_1of4_Tturg_1x1_d_uc,1285,Nikon,1x,1,USDA190157,A,R12,Mid,1of4,External,Tturg,d,uc
1286_USDA190157_A_R12_1of4_Tturg_1x1_l_uc,1286,Nikon,1x,1,USDA190157,A,R12,Mid,1of4,External,Tturg,l,uc
1287_USDA190157_A_R12_1of4_Tturg_1x1_p_uc,1287,Nikon,1x,1,USDA190157,A,R12,Mid,1of4,External,Tturg,p,uc
1288_USDA190157_A_R20_1of2_Tturg_1x1_d_uc,1288,Nikon,1x,1,USDA190157,A,R20,Top,1of2,External,Tturg,d,uc
